ID;Best Known;;Benders Dec. [1];;Branch&Bound [1];;Russian Doll Search [1];;Carousel Greedy  [2];;Kernel Search  [3];;Kernousel [2];;CP-SAT;;;;
 ;LB;UB;Gap %;;Gap %;;Gap %;;Gap;Sec;Gap;Sec;Gap;Sec;Opt;Sec;Sec;Gap %;
;;;LB;UB;LB;UB;LB;UB;LB %;;LB %;;LB %;;;heu;opt;LB;UB
1;37;37;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,0;0,0;4,6;0,0;13,1;37;1,2;1,6;0,0;0,0
2;49;49;0,0;0,0;0,0;0,0;0,0;0,0;24,5;5,7;0,0;3,7;0,0;9,4;49;1,3;1,6;0,0;0,0
3;24;24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;0,0;6,3;0,0;7,6;24;1,7;1,9;0,0;0,0
4;33;33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,6;0,0;4,7;0,0;9,6;33;1,6;1,9;0,0;0,0
5;12;12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,5;0,0;12,1;0,0;7,4;12;2,1;2,8;0,0;0,0
6;34;34;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,5;0,0;4,9;0,0;8,4;34;2,1;2,7;0,0;0,0
7;13;13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;6,7;0,0;8,4;13;2,3;2,8;0,0;0,0
8;15;15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,7;0,0;5,5;0,0;7,7;15;2,3;3,0;0,0;0,0
9;35;35;0,0;0,0;0,0;0,0;0,0;0,0;2,9;6,6;2,9;6,8;0,0;12,7;35;2,2;2,7;0,0;0,0
10;51;51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;19,6;0,0;17,0;51;2,3;7,2;0,0;0,0
11;26;26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,6;0,0;10,6;0,0;14,3;26;3,0;3,9;0,0;0,0
12;50;50;0,0;0,0;0,0;0,0;0,0;0,0;22,0;4,8;0,0;14,8;0,0;14,4;50;3,0;3,8;0,0;0,0
13;13;13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,5;0,0;12,6;0,0;12,9;13;4,0;5,2;0,0;0,0
14;19;19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,3;0,0;10,0;0,0;11,7;19;3,9;4,1;0,0;0,0
15;25;25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,3;0,0;9,7;0,0;14,5;25;4,7;6,2;0,0;0,0
16;19;19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,2;0,0;11,3;0,0;13,5;19;4,9;6,5;0,0;0,0
17;43;43;0,0;0,0;0,0;0,0;0,0;0,0;20,9;13,5;18,6;37,5;11,6;55,7;43;3,8;11,5;0,0;0,0
18;55;55;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,5;0,0;8,2;0,0;19,9;55;3,8;7,7;0,0;0,0
19;33;33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,7;3,0;13,2;0,0;23,4;33;5,2;6,7;0,0;0,0
20;35;35;0,0;0,0;0,0;0,0;0,0;0,0;5,7;14,0;5,7;11,3;5,7;26,6;35;5,2;6,2;0,0;0,0
21;27;27;0,0;0,0;0,0;0,0;0,0;0,0;3,7;6,4;0,0;15,8;0,0;21,7;27;6,4;8,4;0,0;0,0
22;34;34;0,0;0,0;0,0;0,0;0,0;0,0;5,9;6,2;0,0;14,5;0,0;19,9;34;6,5;7,7;0,0;0,0
23;15;15;0,0;0,0;0,0;0,0;0,0;0,0;13,3;4,0;6,7;14,0;0,0;17,3;15;7,1;8,9;0,0;0,0
24;34;34;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,6;0,0;13,8;0,0;17,0;34;7,0;8,8;0,0;0,0
25;45;45;0,0;0,0;0,0;0,0;0,0;0,0;8,9;15,3;0,0;14,6;0,0;34,0;45;5,7;19,5;0,0;0,0
26;80;80;0,0;0,0;0,0;0,0;0,0;0,0;13,8;16,9;11,3;26,0;0,0;38,0;80;5,8;14,9;0,0;0,0
27;30;30;0,0;0,0;0,0;0,0;0,0;0,0;16,7;4,7;20,0;38,0;16,7;43,0;30;7,5;16,0;0,0;0,0
28;48;48;0,0;0,0;0,0;0,0;0,0;0,0;31,3;16,8;0,0;17,6;0,0;35,1;48;7,4;13,0;0,0;0,0
29;26;26;0,0;0,0;0,0;0,0;0,0;0,0;7,7;7,6;0,0;17,7;0,0;25,3;26;8,6;10,9;0,0;0,0
30;36;36;0,0;0,0;0,0;0,0;0,0;0,0;2,8;5,5;0,0;20,5;0,0;26,9;36;8,3;10,6;0,0;0,0
31;24;24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,5;0,0;22,6;0,0;27,8;24;9,9;13,1;0,0;0,0
32;37;37;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,0;0,0;19,2;0,0;26,2;37;9,8;11,9;0,0;0,0
33;37;37;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,9;5,4;10,1;0,0;20,5;37;3,2;4,6;0,0;0,0
34;48;48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,1;2,1;10,7;0,0;21,9;48;3,2;4,5;0,0;0,0
35;24;24;0,0;0,0;0,0;0,0;0,0;0,0;16,7;2,6;8,3;10,0;8,3;13,0;24;4,5;5,2;0,0;0,0
